feature,importance
repo_stars,0.45169861412542595
version_bump_ord,0.2102307480178462
cvss_score,0.12976143371986465
cwe_CWE_502,0.06649339071712479
cwe_CWE_732,0.050074725730257556
cwe_CWE_400,0.04375446433592349
cvss_severity_ord,0.022326509966464608
cwe_CWE_1333,0.010899777241503051
cwe_CWE_89,0.008184718495924274
cwe_UNKNOWN,0.004384894627888884
ecosystem_bin,0.0021039971356348833
cwe_CWE_665,8.672588614180679e-05
has_behavioral_bc,0.0
cwe_CWE_476,0.0
cwe_CWE_1321,0.0
has_cve,0.0
cwe_CWE_668,0.0
